name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb)
AMC Ambassador Brougham,13,8,360,175,3821
AMC Ambassador DPL,15,8,390,190,3850
AMC Ambassador SST,17,8,304,150,3672
AMC Concord DL 6,20.2,6,232,90,3265
AMC Concord DL,18.1,6,258,120,3410
AMC Concord DL,23,4,151,,3035
AMC Concord,19.4,6,232,90,3210
AMC Concord,24.3,4,151,90,3003
AMC Gremlin,18,6,232,100,2789
AMC Gremlin,19,6,232,100,2634
AMC Gremlin,20,6,232,100,2914
AMC Gremlin,21,6,199,90,2648
AMC Hornet Sportabout (Wagon),18,6,258,110,2962
AMC Hornet,18,6,199,97,2774
AMC Hornet,18,6,232,100,2945
AMC Hornet,19,6,232,100,2901
AMC Hornet,22.5,6,232,90,3085
AMC Matador (Wagon),14,8,304,150,4257
AMC Matador (Wagon),15,8,304,150,3892
AMC Matador,14,8,304,150,3672
AMC Matador,15,6,258,110,3730
AMC Matador,15.5,8,304,120,3962
AMC Matador,16,6,258,110,3632
AMC Matador,18,6,232,100,3288
AMC Pacer D/L,17.5,6,258,95,3193
AMC Pacer,19,6,232,90,3211
AMC Rebel SST,16,8,304,150,3433
AMC Spirit DL,27.4,4,121,80,2670
Audi 100 LS,20,4,114,91,2582
Audi 100 LS,23,4,115,95,2694
Audi 100 LS,24,4,107,90,2430
Audi 4000,34.3,4,97,78,2188
Audi 5000,20.3,5,131,103,2830
Audi 5000S (Diesel),36.4,5,121,67,2950
Audi Fox,29,4,98,83,2219
BMW 2002,26,4,121,113,2234
BMW 320i,21.5,4,121,110,2600
Buick Century 350,13,8,350,175,4100
Buick Century Limited,25,6,181,110,2945
Buick Century Luxus (Wagon),13,8,350,150,4699
Buick Century Special,20.6,6,231,105,3380
Buick Century,17,6,231,110,3907
Buick Century,22.4,6,231,110,3415
Buick Electra 225 Custom,12,8,455,225,4951
Buick Estate Wagon (Wagon),14,8,455,225,3086
Buick Estate Wagon (Wagon),16.9,8,350,155,4360
Buick Lesabre Custom,13,8,350,155,4502
Buick Opel Isuzu Deluxe,30,4,111,80,2155
Buick Regal Sport Coupe (Turbo),17.7,6,231,165,3445
Buick Skyhawk,21,6,231,110,3039
Buick Skylark 320,15,8,350,165,3693
Buick Skylark Limited,28.4,4,151,90,2670
Buick Skylark,20.5,6,231,105,3425
Buick Skylark,26.6,4,151,84,2635
Cadillac Eldorado,23,8,350,125,3900
Cadillac Seville,16.5,8,350,180,4380
Chevroelt Chevelle Malibu,16,6,250,105,3897
Chevrolet Bel Air,15,8,350,145,4440
Chevrolet Camaro,27,4,151,90,2950
Chevrolet Caprice Classic,13,8,400,150,4464
Chevrolet Caprice Classic,17,8,305,130,3840
Chevrolet Caprice Classic,17.5,8,305,145,3880
Chevrolet Cavalier 2-Door,34,4,112,88,2395
Chevrolet Cavalier Wagon,27,4,112,88,2640
Chevrolet Cavalier,28,4,112,88,2605
Chevrolet Chevelle Concours (Wagon),13,8,307,130,4098
Chevrolet Chevelle Malibu Classic,16,6,250,100,3781
Chevrolet Chevelle Malibu Classic,17.5,8,305,140,4215
Chevrolet Chevelle Malibu,17,6,250,100,3329
Chevrolet Chevelle Malibu,18,8,307,130,3504
Chevrolet Chevette,29,4,85,52,2035
Chevrolet Chevette,30,4,98,68,2155
Chevrolet Chevette,30.5,4,98,63,2051
Chevrolet Chevette,32.1,4,98,70,2120
Chevrolet Citation,23.5,6,173,110,2725
Chevrolet Citation,28,4,151,90,2678
Chevrolet Citation,28.8,6,173,115,2595
Chevrolet Concours,17.5,6,250,110,3520
Chevrolet Impala,11,8,400,150,4997
Chevrolet Impala,13,8,350,165,4274
Chevrolet Impala,14,8,350,165,4209
Chevrolet Impala,14,8,454,220,4354
Chevrolet Malibu Classic (Wagon),19.2,8,267,125,3605
Chevrolet Malibu,13,8,350,145,3988
Chevrolet Malibu,20.5,6,200,95,3155
Chevrolet Monte Carlo Landau,15.5,8,350,170,4165
Chevrolet Monte Carlo Landau,19.2,8,305,145,3425
Chevrolet Monte Carlo S,15,8,350,145,4082
Chevrolet Monte Carlo,15,8,400,150,3761
Chevrolet Monza 2+2,20,8,262,110,3221
Chevrolet Nova Custom,16,6,250,100,3278
Chevrolet Nova,15,6,250,100,3336
Chevrolet Nova,18,6,250,105,3459
Chevrolet Nova,22,6,250,105,3353
Chevrolet Vega (Wagon),22,4,140,72,2408
Chevrolet Vega 2300,28,4,140,90,2264
Chevrolet Vega,20,4,140,90,2408
Chevrolet Vega,21,4,140,72,2401
Chevrolet Vega,25,4,140,75,2542
Chevrolet Woody,24.5,4,98,60,2164
Chevy C10,13,8,350,145,4055
Chevy C20,10,8,307,200,4376
Chevy S-10,31,4,119,82,2720
Chrysler Cordoba,15.5,8,400,190,4325
Chrysler Lebaron Medallion,26,4,156,92,2585
Chrysler Lebaron Salon,17.6,6,225,85,3465
Chrysler Lebaron Town & Country (Wagon),18.5,8,360,150,3940
Chrysler New Yorker Brougham,13,8,440,215,4735
Chrysler Newport Royal,13,8,400,190,4422
Datsun 1200,35,4,72,69,1613
Datsun 200SX,23.9,4,119,97,2405
Datsun 200SX,32.9,4,119,100,2615
Datsun 210,31.8,4,85,65,2020
Datsun 210,37,4,85,65,1975
Datsun 210,40.8,4,85,65,2110
Datsun 280ZX,32.7,6,168,132,2910
Datsun 310 GX,38,4,91,67,1995
Datsun 310,37.2,4,86,65,2019
Datsun 510 (Wagon),28,4,97,92,2288
Datsun 510 Hatchback,37,4,119,92,2434
Datsun 510,27.2,4,119,97,2300
Datsun 610,22,4,108,94,2379
Datsun 710,24,4,119,97,2545
Datsun 710,32,4,83,61,2003
Datsun 810 Maxima,24.2,6,146,120,2930
Datsun 810,22,6,146,97,2815
Datsun B-210,32,4,85,70,1990
Datsun B210 GX,39.4,4,85,70,2070
Datsun B210,31,4,79,67,1950
Datsun F-10 Hatchback,33.5,4,85,70,1945
Datsun PL510,27,4,97,88,2130
Datsun PL510,27,4,97,88,2130
Dodge Aries SE,29,4,135,84,2525
Dodge Aries Wagon (Wagon),25.8,4,156,92,2620
Dodge Aspen 6,20.6,6,225,110,3360
Dodge Aspen SE,20,6,225,100,3651
Dodge Aspen,18.6,6,225,110,3620
Dodge Aspen,19.1,6,225,90,3381
Dodge Challenger SE,15,8,383,170,3563
Dodge Charger 2.2,36,4,135,84,2370
Dodge Colt (Wagon),28,4,98,80,2164
Dodge Colt Hardtop,25,4,97.5,80,2126
Dodge Colt Hatchback Custom,35.7,4,98,80,1915
Dodge Colt M/M,33.5,4,98,83,2075
Dodge Colt,26,4,98,79,2255
Dodge Colt,27.9,4,156,105,2800
Dodge Colt,28,4,90,75,2125
Dodge Coronet Brougham,16,8,318,150,4190
Dodge Coronet Custom (Wagon),14,8,318,150,4457
Dodge Coronet Custom,15,8,318,150,3777
Dodge D100,13,8,318,150,3755
Dodge D200,11,8,318,210,4382
Dodge Dart Custom,15,8,318,150,3399
Dodge Diplomat,19.4,8,318,140,3735
Dodge Magnum XE,17.5,8,318,140,4080
Dodge Monaco (Wagon),12,8,383,180,4955
Dodge Monaco Brougham,15.5,8,318,145,4140
Dodge Omni,30.9,4,105,75,2230
Dodge Rampage,32,4,135,84,2295
Dodge St. Regis,18.2,8,318,135,3830
Fiat 124 Sport Coupe,26,4,98,90,2265
Fiat 124 TC,26,4,116,75,2246
Fiat 124B,30,4,88,76,2065
Fiat 128,24,4,90,75,2108
Fiat 128,29,4,68,49,1867
Fiat 131,28,4,107,86,2464
Fiat Strada Custom,37.3,4,91,69,2130
Fiat X1.9,31,4,79,67,2000
Ford Capri II,25,4,140,92,2572
Ford Country Squire (Wagon),13,8,400,170,4746
Ford Country Squire (Wagon),15.5,8,351,142,4054
Ford Country,12,8,400,167,4906
Ford Escort 2H,29.9,4,98,65,2380
Ford Escort 4W,34.4,4,98,65,2045
Ford F108,13,8,302,130,3870
Ford F250,10,8,360,215,4615
Ford Fairmont (Auto),20.2,6,200,85,2965
Ford Fairmont (Man),25.1,4,140,88,2720
Ford Fairmont 4,22.3,4,140,88,2890
Ford Fairmont Futura,24,4,140,92,2865
Ford Fairmont,26.4,4,140,88,2870
Ford Fiesta,36.1,4,98,66,1800
Ford Futura,18.1,8,302,139,3205
Ford Galaxie 500,14,8,351,153,4129
Ford Galaxie 500,14,8,351,153,4154
Ford Galaxie 500,15,8,429,198,4341
Ford Gran Torino (Wagon),13,8,302,140,4294
Ford Gran Torino (Wagon),14,8,302,140,4638
Ford Gran Torino,14,8,302,137,4042
Ford Gran Torino,14.5,8,351,152,4215
Ford Gran Torino,16,8,302,140,4141
Ford Granada Ghia,18,6,250,78,3574
Ford Granada GL,20.2,6,200,88,3060
Ford Granada L,22,6,232,112,2835
Ford Granada,18.5,6,250,98,3525
Ford LTD Landau,17.6,8,302,129,3725
Ford LTD,13,8,351,158,4363
Ford LTD,14,8,351,148,4657
Ford Maverick,15,6,250,72,3158
Ford Maverick,18,6,250,88,3021
Ford Maverick,21,6,200,,2875
Ford Maverick,21,6,200,85,2587
Ford Maverick,24,6,200,81,3012
Ford Mustang Cobra,23.6,4,140,,2905
Ford Mustang GL,27,4,140,86,2790
Ford Mustang II 2+2,25.5,4,140,89,2755
Ford Mustang II,13,8,302,129,3169
Ford Mustang,18,6,250,88,3139
Ford Pinto (Wagon),22,4,122,86,2395
Ford Pinto Runabout,21,4,122,86,2226
Ford Pinto,18,6,171,97,2984
Ford Pinto,19,4,122,85,2310
Ford Pinto,23,4,140,83,2639
Ford Pinto,25,4,98,,2046
Ford Pinto,26,4,122,80,2451
Ford Pinto,26.5,4,140,72,2565
Ford Ranger,28,4,120,79,2625
Ford Thunderbird,16,8,351,149,4335
Ford Torino 500,19,6,250,88,3302
Ford Torino,17,8,302,140,3449
Hi 1200D,9,8,304,193,4732
Honda Accord CVCC,31.5,4,98,68,2045
Honda Accord LX,29.5,4,98,68,2135
Honda Accord,32.4,4,107,72,2290
Honda Accord,36,4,107,75,2205
Honda Civic (Auto),32,4,91,67,1965
Honda Civic 1300,35.1,4,81,60,1760
Honda Civic 1500 GL,44.6,4,91,67,1850
Honda Civic CVCC,33,4,91,53,1795
Honda Civic CVCC,36.1,4,91,60,1800
Honda Civic,24,4,120,97,2489
Honda Civic,33,4,91,53,1795
Honda Civic,38,4,91,67,1965
Honda Prelude,33.7,4,107,75,2210
Maxda GLC Deluxe,34.1,4,86,65,1975
Maxda RX-3,18,3,70,90,2124
Mazda 626,31.3,4,120,75,2542
Mazda 626,31.6,4,120,74,2635
Mazda GLC 4,34.1,4,91,68,1985
Mazda GLC Custom L,37,4,91,68,2025
Mazda GLC Custom,31,4,91,68,1970
Mazda GLC Deluxe,32.8,4,78,52,1985
Mazda GLC,46.6,4,86,65,2110
Mazda RX-2 Coupe,19,3,70,97,2330
Mazda RX-4,21.5,3,80,110,2720
Mazda RX-7 Gs,23.7,3,70,100,2420
Mercedes-Benz 240D,30,4,146,67,3250
Mercedes-Benz 280S,16.5,6,168,120,3820
Mercedes-Benz 300D,25.4,5,183,77,3530
Mercury Capri 2000,23,4,122,86,2220
Mercury Capri V6,21,6,155,107,2472
Mercury Cougar Brougham,15,8,302,130,4295
Mercury Grand Marquis,16.5,8,351,138,3955
Mercury Lynx L,36,4,98,70,2125
Mercury Marquis Brougham,12,8,429,198,4952
Mercury Marquis,11,8,429,208,4633
Mercury Monarch Ghia,20.2,8,302,139,3570
Mercury Monarch,15,6,250,72,3432
Mercury Zephyr 6,19.8,6,200,85,2990
Mercury Zephyr,20.8,6,200,85,3070
Nissan Stanza XE,36,4,120,88,2160
Oldsmobile Cutlass Ciera (Diesel),38,6,262,85,3015
Oldsmobile Cutlass LS,26.6,8,350,105,3725
Oldsmobile Cutlass Salon Brougham,19.9,8,260,110,3365
Oldsmobile Cutlass Salon Brougham,23.9,8,260,90,3420
Oldsmobile Cutlass Supreme,17,8,260,110,4060
Oldsmobile Delta 88 Royale,12,8,350,160,4456
Oldsmobile Omega Brougham,26.8,6,173,115,2700
Oldsmobile Omega,11,8,350,180,3664
Oldsmobile Starfire SX,23.8,4,151,85,2855
Oldsmobile Vista Cruiser,12,8,350,180,4499
Opel 1900,25,4,116,81,2220
Opel 1900,28,4,116,90,2123
Opel Manta,24,4,116,75,2158
Opel Manta,26,4,97,78,2300
Peugeot 304,30,4,79,70,2074
Peugeot 504 (Wagon),21,4,120,87,2979
Peugeot 504,19,4,120,88,3270
Peugeot 504,23,4,120,88,2957
Peugeot 504,25,4,110,87,2672
Peugeot 504,27.2,4,141,71,3190
Peugeot 505S Turbo Diesel,28.1,4,141,80,3230
Peugeot 604SL,16.2,6,163,133,3410
Plymouth Arrow GS,25.5,4,122,96,2300
Plymouth Barracuda 340,14,8,340,160,3609
Plymouth Champ,39,4,86,64,1875
Plymouth Cricket,26,4,91,70,1955
Plymouth Custom Suburb,13,8,360,170,4654
Plymouth Duster,20,6,198,95,3102
Plymouth Duster,22,6,198,95,2833
Plymouth Duster,23,6,198,95,2904
Plymouth Fury Gran Sedan,14,8,318,150,4237
Plymouth Fury III,14,8,318,150,4096
Plymouth Fury III,14,8,440,215,4312
Plymouth Fury III,15,8,318,150,4135
Plymouth Fury,18,6,225,95,3785
Plymouth Grand Fury,16,8,318,150,4498
Plymouth Horizon 4,34.7,4,105,63,2215
Plymouth Horizon Miser,38,4,105,63,2125
Plymouth Horizon TC3,34.5,4,105,70,2150
Plymouth Horizon,34.2,4,105,70,2200
Plymouth Reliant,27.2,4,135,84,2490
Plymouth Reliant,30,4,135,84,2385
Plymouth Sapporo,23.2,4,156,105,2745
Plymouth Satellite Custom (Wagon),14,8,318,150,4077
Plymouth Satellite Custom,16,6,225,105,3439
Plymouth Satellite Sebring,18,6,225,105,3613
Plymouth Satellite,18,8,318,150,3436
Plymouth Valiant Custom,19,6,225,95,3264
Plymouth Valiant,18,6,225,105,3121
Plymouth Valiant,22,6,225,100,3233
Plymouth Volare Custom,19,6,225,100,3630
Plymouth Volare Premier V8,13,8,318,150,3940
Plymouth Volare,20.5,6,225,100,3430
Pontiac Astro,23,4,140,78,2592
Pontiac Catalina Brougham,14,8,400,175,4464
Pontiac Catalina,14,8,400,175,4385
Pontiac Catalina,14,8,455,225,4425
Pontiac Catalina,16,8,400,170,4668
Pontiac Firebird,19,6,250,100,3282
Pontiac Grand Prix Lj,16,8,400,180,4220
Pontiac Grand Prix,16,8,400,230,4278
Pontiac J2000 Se Hatchback,31,4,112,85,2575
Pontiac Lemans V6,21.5,6,231,115,3245
Pontiac Phoenix LJ,19.2,6,231,105,3535
Pontiac Phoenix,27,4,151,90,2735
Pontiac Phoenix,33.5,4,151,90,2556
Pontiac Safari (Wagon),13,8,400,175,5140
Pontiac Sunbird Coupe,24.5,4,151,88,2740
Pontiac Ventura Sj,18.5,6,250,110,3645
Renault 12 (Wagon),26,4,96,69,2189
Renault 12TL,27,4,101,83,2202
Renault 18I,34.5,4,100,,2320
Renault 5 Gtl,36,4,79,58,1825
Renault Lecar Deluxe,40.9,4,85,,1835
Saab 99E,25,4,104,95,2375
Saab 99GLE,21.6,4,121,115,2795
Saab 99LE,24,4,121,110,2660
Saab 99LE,25,4,121,115,2671
Subaru DL,30,4,97,67,1985
Subaru DL,33.8,4,97,67,2145
Subaru,26,4,108,93,2391
Subaru,32.3,4,97,67,2065
Toyota Carina,20,4,97,88,2279
Toyota Celica GT Liftback,21.1,4,134,95,2515
Toyota Celica GT,32,4,144,96,2665
Toyota Corolla 1200,31,4,71,65,1773
Toyota Corolla 1200,32,4,71,65,1836
Toyota Corolla 1600 (Wagon),27,4,97,88,2100
Toyota Corolla Liftback,26,4,97,75,2265
Toyota Corolla Tercel,38.1,4,89,60,1968
Toyota Corolla,28,4,97,75,2155
Toyota Corolla,29,4,97,75,2171
Toyota Corolla,32.2,4,108,75,2265
Toyota Corolla,32.4,4,108,75,2350
Toyota Corolla,34,4,108,70,2245
Toyota Corona Hardtop,24,4,113,95,2278
Toyota Corona Liftback,29.8,4,134,90,2711
Toyota Corona Mark II,24,4,113,95,2372
Toyota Corona,24,4,134,96,2702
Toyota Corona,25,4,113,95,2228
Toyota Corona,27.5,4,134,95,2560
Toyota Corona,31,4,76,52,1649
Toyota Cressida,25.4,6,168,116,2900
Toyota Mark II,19,6,156,108,2930
Toyota Mark II,20,6,156,122,2807
Toyota Starlet,39.1,4,79,58,1755
Toyota Tercel,37.7,4,89,62,2050
Toyouta Corona Mark II (Wagon),23,4,120,97,2506
Triumph TR7 Coupe,35,4,122,88,2500
Vokswagen Rabbit,29.8,4,89,62,1845
Volkswagen 1131 Deluxe Sedan,26,4,97,46,1835
Volkswagen 411 (Wagon),22,4,121,76,2511
Volkswagen Dasher (Diesel),43.4,4,90,48,2335
Volkswagen Dasher,25,4,90,71,2223
Volkswagen Dasher,26,4,79,67,1963
Volkswagen Dasher,30.5,4,97,78,2190
Volkswagen Jetta,33,4,105,74,2190
Volkswagen Model 111,27,4,97,60,1834
Volkswagen Pickup,44,4,97,52,2130
Volkswagen Rabbit C (Diesel),44.3,4,90,48,2085
Volkswagen Rabbit Custom Diesel,43.1,4,90,48,1985
Volkswagen Rabbit Custom,29,4,97,78,1940
Volkswagen Rabbit Custom,31.9,4,89,71,1925
Volkswagen Rabbit L,36,4,105,74,1980
Volkswagen Rabbit,29,4,90,70,1937
Volkswagen Rabbit,29,4,90,70,1937
Volkswagen Rabbit,29.5,4,97,71,1825
Volkswagen Rabbit,41.5,4,98,76,2144
Volkswagen Scirocco,31.5,4,89,71,1990
Volkswagen Super Beetle,26,4,97,46,1950
Volkswagen Type 3,23,4,97,54,2254
Volvo 144EA,19,4,121,112,2868
Volvo 145E (Wagon),18,4,121,112,2933
Volvo 244DL,22,4,121,98,2945
Volvo 245,20,4,130,102,3150
Volvo 264GL,17,6,163,125,3140
Volvo Diesel,30.7,6,145,76,3160
